date,code,name,city,county,fips,zipcode,x,y,confirmed_cases,new_confirmed_cases,active_cases,released_cases,resolved_cases,deaths,new_deaths
9/14/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2281,1,,61,,5,0
9/15/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2289,8,,61,,5,0
9/16/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2432,143,,61,,5,0
9/17/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2440,8,,61,,5,0
9/18/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2496,56,,61,,5,0
9/19/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2496,0,,62,,5,0
9/20/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2496,0,,62,,5,0
9/21/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2527,31,,62,,5,0
9/22/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2597,70,,63,,5,0
9/23/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2642,45,,64,,5,0
9/24/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2654,12,,65,,5,0
9/25/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2659,5,,65,,5,0
9/26/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2659,0,,65,,6,1
9/27/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2659,0,,65,,6,0
9/28/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2668,9,,65,,6,0
9/29/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2793,125,,66,,6,0
9/30/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2828,35,,67,,7,1
10/1/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2836,8,,67,,7,0
10/2/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2837,1,,67,,7,0
10/3/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2839,2,,67,,7,0
10/4/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2839,0,,67,,7,0
10/5/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2840,1,,67,,7,0
10/6/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2925,85,,67,,7,0
10/7/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2933,8,,67,,7,0
10/8/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2934,1,,67,,7,0
10/9/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2934,0,,67,,7,0
10/10/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2935,1,,67,,7,0
10/11/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2935,0,,67,,7,0
10/12/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2939,4,,67,,7,0
10/13/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2939,0,,67,,7,0
10/14/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2939,0,,67,,7,0
10/15/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2939,0,,67,,7,0
10/16/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2939,0,,67,,7,0
10/17/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2939,0,,67,,7,0
10/18/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2939,0,,68,,7,0
10/19/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2941,2,,68,,7,0
10/20/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2943,2,,68,,7,0
10/21/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2944,1,,68,,7,0
10/22/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2947,3,,68,,7,0
10/23/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2948,1,,68,,7,0
10/24/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2948,0,,68,,7,0
10/25/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2948,0,,68,,7,0
10/26/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2963,15,,68,,7,0
